id,type,name,canonical,cached_count,merger_id
29,Relationship,Sam Winchester/Dean Winchester,false,1055,35
35,Relationship,Dean Winchester/Sam Winchester,true,35177,
36,Relationship,Jessica Moore/Sam Winchester,true,5620,
45,Relationship,Viggo Mortensen/Orlando Bloom,false,27,12718
51,Relationship,Tsuzuki/Hisoka,false,15,9712
58,Relationship,Yuki/Shuichi,false,13,9420
72,Relationship,Ronon Dex/Jennifer Keller,true,138,
84,Relationship,McShep,false,1647,103
85,Relationship,Sheppard/McKay,false,204,103
89,Relationship,Cook/Archuleta,false,10,6856
96,Relationship,H/D,false,252,99
99,Relationship,Draco Malfoy/Harry Potter,true,74244,
103,Relationship,Rodney McKay/John Sheppard,true,17432,
143,Relationship,John/Aeryn,false,19,6455
170,Relationship,Mikey Way/Gerard Way,false,31,31976
174,Relationship,Meredith/Cristina,false,7,7227
188,Relationship,Clark/Lex,false,3853,5275
202,Relationship,Jack Harkness/Ianto Jones/Toshiko Sato,true,22,
207,Relationship,Greg House/James Wilson,true,2449,
220,Relationship,Snarry - Relationship,false,57,1600
233,Relationship,No Pairing,false,999,267340
251,Relationship,Jayne/Simon,false,32,6154
274,Relationship,Jim/Blair,false,122,485
278,Relationship,Remus Lupin/Severus Snape,true,3675,
293,Relationship,John/Rodney,false,290,103
304,Relationship,Sam/Dean,false,1578,35
322,Relationship,Severus Snape/Sirius Black,false,48,6662
338,Relationship,Fraser/Kowalski,false,147,473
369,Relationship,Rodney/John,false,68,103
371,Relationship,Crowley/Aziraphale,false,269,575567
372,Relationship,Rodney/Teyla,false,10,6117
415,Relationship,Mulder/Scully,false,111,4905
427,Relationship,GSF,true,87,
446,Relationship,Teyla/Sora,false,6,6125
448,Relationship,Josh/Donna,false,22,449
449,Relationship,Josh Lyman/Donna Moss,true,3357,
458,Relationship,Billy Tallent/Joe Dick,false,14,8724
473,Relationship,Benton Fraser/Ray Kowalski,true,5567,
485,Relationship,Jim Ellison/Blair Sandburg,true,9006,
488,Relationship,Mulder/Skinner,false,31,6774
500,Relationship,Doggett/Reyes,false,11,6768
506,Relationship,Ben Affleck/Matt Damon,true,125,
516,Relationship,Bartleby/Loki,true,32,
524,Relationship,Casey/Zeke,false,36,7684
532,Relationship,Tom Hanson/Doug Penhall,true,35,
551,Relationship,None,false,6537,267340
612,Relationship,Daria/Jane,false,7,77766
628,Relationship,Chris/Lance,false,8,6597
648,Relationship,Lucy/Tumnus,false,10,6229
661,Relationship,Dan/Casey,false,32,3153
669,Relationship,Alexander/Hephaistion,false,35,32457808
687,Relationship,Dick/Babs,false,12,9574
692,Relationship,Jesus/Judas,false,7,212497
706,Relationship,Giles/Buffy,false,22,5500
709,Relationship,Logan/Veronica,false,24,6799
712,Relationship,Anya/Xander,false,9,10659
721,Relationship,Joe Flanigan/David Hewlett,true,110,
730,Relationship,Van/Deaq,false,10,7382
752,Relationship,John/Paul,false,41,2544
756,Relationship,Chris/JC,false,10,6594
838,Relationship,Charles/Erik,false,821,18525
845,Relationship,Magneto/Mystique,false,15,919789
863,Relationship,Veronica/Logan,false,12,6799
875,Relationship,Mal/Inara,false,23,6409
880,Relationship,Mal/River,false,12,6412
888,Relationship,Simon/Kaylee,false,16,6419
892,Relationship,Harry/Severus,false,165,1600
896,Relationship,Chris/Justin,false,28,6596
912,Relationship,OMC/OMC,false,1060,7675
915,Relationship,John/Dean/Sam,false,8,77645
921,Relationship,Dean Winchester/OFC,false,205,233082
927,Relationship,Mulder/Krycek,false,27,6773
928,Relationship,Jack/Ianto,false,401,4719
933,Relationship,John Sheppard/Rodney McKay,false,828,103
938,Relationship,Giles/Ethan,false,10,5512
940,Relationship,Methos/Kronos,false,34,12943351
952,Relationship,Gibbs/DiNozzo,false,230,6565
975,Relationship,Various Pairings,false,139,
985,Relationship,Mac/PC,true,16,
996,Relationship,Kowalski/Vecchio,false,10,7253
998,Relationship,ray/ray,false,10,7253
1007,Relationship,HP/SS,false,843,1600
1019,Relationship,Nick/Greg,false,10,5505
1024,Relationship,Mal/Simon,false,67,6413
1037,Relationship,Dom/Elijah,false,12,12723
1045,Relationship,Harry/Ron/Hermione,false,35,5536
1046,Relationship,Harry Potter/Hermione Granger/Ron Weasley,false,17,5536
1051,Relationship,Hermione Granger/Remus Lupin,true,979,
1081,Relationship,Dean Winchester/John Winchester,true,784,
1093,Relationship,John Winchester/OFC,false,21,1154200
1094,Relationship,Dean Winchester/Cassie Robinson,false,17,5671
1110,Relationship,Sirius Black/Remus Lupin,true,28134,
1124,Relationship,Aragorn/Boromir,false,340,7839325
1126,Relationship,Aragorn/Faramir,false,66,7839541
1130,Relationship,Éomer/Legolas,false,12,7900036
1158,Relationship,Hughes/Mustang,false,11,10231
1200,Relationship,Methos/MacLeod,false,14,13414054
1211,Relationship,Jack/Daniel,false,205,5731
1241,Relationship,Harry Potter/Ron Weasley,true,2956,
1247,Relationship,Fraser/RayK,false,69,473
1256,Relationship,Duncan/Methos,false,43,13414054
1326,Relationship,Harry/Snape,false,231,1600
1347,Relationship,Spike/Tara,false,7,75244
1405,Relationship,Ice/Water,true,2,
1414,Relationship,Buffy Summers/Rupert Giles,false,35,5500
1421,Relationship,Buffy Summers/Faith Lehane,false,75,5498
1427,Relationship,Elphaba/Glinda,false,7,91826
1473,Relationship,Geoffrey/Ellen,false,6,8727
1517,Relationship,Jeeves/Wooster,false,48,8874799
1531,Relationship,Joe Dick/Silent Bob,true,1,
1534,Relationship,Joe/Billy,false,8,8724
1552,Relationship,Inara/Kaylee,false,6,6143
1588,Relationship,Draco Malfoy/Narcissa Malfoy,false,24,965919
1600,Relationship,Harry Potter/Severus Snape,true,22011,
1681,Relationship,Bodie/Doyle,false,178,6261
1691,Relationship,louis/lestat,false,6,11764
1699,Relationship,Josh/Sam,true,31,
1719,Relationship,Apollo/Midnighter,true,269,
1748,Relationship,Bruce Wayne/Clark Kent,false,227,6624
1756,Relationship,Elijah Wood/Orlando Bloom,false,42,9049
1767,Relationship,Elijah Wood/Viggo Mortensen,false,11,12720
1787,Relationship,Hawkeye/Trapper,false,13,851588
1792,Relationship,Nick/Lacroix,false,13,103903
1810,Relationship,Ron Weasley/Hermione Granger,false,268,3458
1882,Relationship,Dawn Summers/Faith Lehane,false,7,5511
1888,Relationship,Buffy Summers/Tara Maclay,false,7,5501
1890,Relationship,Buffy/Angel,false,77,5503
1891,Relationship,Buffy/Spike,false,266,5509
1907,Relationship,Faith Lehane/Tara Maclay,true,106,
1909,Relationship,Faith Lehane/Willow Rosenberg,true,152,
1910,Relationship,Buffy Summers/Willow Rosenberg,false,20,5502
